Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #7	Run #7	Run #7	Run #7	Run #8	Run #8	Run #8	Run #8	Run #9	Run #9	Run #9	Run #9	Run #10	Run #10	Run #10	Run #10	Run #11	Run #11	Run #11	Run #11	Run #12	Run #12	Run #12	Run #12	Run #13	Run #13	Run #13	Run #13	Run #14	Run #14	Run #14	Run #14	Run #15	Run #15	Run #15	Run #15	Run #16	Run #16	Run #16	Run #16	Run #17	Run #17	Run #17	Run #17	Run #18	Run #18	Run #18	Run #18
Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.900	1.398	-0.01	-0.3	0.900	0.270	0.01	0.1	0.900	0.731	-2.03	9.0	0.900	0.852	-2.46	9.7	0.900	0.759	-2.27	9.1	0.900	0.731	-2.03	8.9	0.900	0.707	-1.99	10.3	0.900	0.906	3.81	13.0	0.900	0.922	3.72	15.4	0.900	1.103	-3.28	-78.5	0.900	0.858	-2.65	9.9	0.900	1.028	4.37	-32.9	0.900	1.118	3.05	-103.1	0.900	0.316	1.81	9.2
0.925	1.398	-0.01	0.2	0.925	0.270	0.01	0.2	0.925	0.684	-1.76	10.2	0.925	0.794	-2.23	9.1	0.925	0.706	-2.00	10.4	0.925	0.684	-1.78	9.1	0.925	0.661	-1.73	10.0	0.925	1.005	4.23	-14.5	0.925	1.018	4.22	-23.1	0.925	1.022	-3.17	7.0	0.925	0.795	-2.42	9.0	0.925	1.148	2.17	-126.7	0.925	1.157	-0.96	-128.6	0.925	0.364	2.03	9.2
0.950	1.397	-0.01	0.4	0.950	0.271	0.01	-0.3	0.950	0.642	-1.52	9.8	0.950	0.741	-2.01	9.3	0.950	0.659	-1.75	9.8	0.950	0.642	-1.58	9.0	0.950	0.621	-1.49	9.7	0.950	1.117	3.09	-103.1	0.950	1.133	2.56	-113.1	0.950	0.945	-2.92	11.1	0.950	0.737	-2.20	8.4	0.950	1.136	-1.97	-109.7	0.950	1.069	-3.38	-44.0	0.950	0.417	2.27	9.8
0.975	1.397	0.01	0.2	0.975	0.271	3.25E-4	-0.5	0.975	0.607	-1.27	10.0	0.975	0.693	-1.76	9.8	0.975	0.619	-1.51	9.7	0.975	0.605	-1.33	10.6	0.975	0.587	-1.24	9.8	0.975	1.160	-0.92	-131.0	0.975	1.146	-1.43	-116.3	0.975	0.876	-2.61	10.7	0.975	0.685	-2.00	8.9	0.975	1.050	-3.31	-21.5	0.975	0.988	-3.16	9.1	0.975	0.477	2.52	9.8
1.000	1.397	0.01	0.1	1.000	0.271	-0.01	-0.3	1.000	0.579	-1.03	9.8	1.000	0.653	-1.51	9.8	1.000	0.584	-1.26	9.8	1.000	0.576	-1.05	10.6	1.000	0.558	-1.00	9.8	1.000	1.071	-3.46	-45.8	1.000	1.062	-3.25	-31.2	1.000	0.814	-2.39	8.6	1.000	0.637	-1.76	10.4	1.000	0.971	-3.04	10.8	1.000	0.911	-2.92	10.6	1.000	0.543	2.76	10.0
1.025	1.398	0.01	0.0	1.025	0.270	-0.02	-0.4	1.025	0.556	-0.78	9.7	1.025	0.618	-1.27	9.7	1.025	0.555	-1.02	9.6	1.025	0.553	-0.80	9.7	1.025	0.537	-0.75	9.6	1.025	0.987	-3.21	10.0	1.025	0.984	-2.99	10.1	1.025	0.756	-2.18	9.4	1.025	0.597	-1.48	10.4	1.025	0.898	-2.77	10.2	1.025	0.842	-2.63	10.8	1.025	0.615	3.02	10.9
1.050	1.398	0.01	-0.4	1.050	0.270	-0.03	-0.5	1.050	0.540	-0.54	9.5	1.050	0.589	-1.03	9.7	1.050	0.533	-0.78	9.5	1.050	0.536	-0.56	9.6	1.050	0.521	-0.52	9.5	1.050	0.911	-2.96	10.8	1.050	0.912	-2.75	10.1	1.050	0.705	-1.92	10.0	1.050	0.564	-1.23	9.7	1.050	0.832	-2.54	9.0	1.050	0.780	-2.38	9.6	1.050	0.694	3.30	9.6
1.075	1.398	-0.01	-0.4	1.075	0.269	-0.04	-0.2	1.075	0.529	-0.31	9.4	1.075	0.566	-0.79	9.4	1.075	0.516	-0.54	9.7	1.075	0.525	-0.32	9.5	1.075	0.511	-0.28	9.6	1.075	0.839	-2.67	10.7	1.075	0.846	-2.49	9.8	1.075	0.660	-1.68	9.6	1.075	0.536	-0.99	9.7	1.075	0.771	-2.32	9.4	1.075	0.723	-2.15	9.5	1.075	0.780	3.50	7.5
1.100	1.398	-0.02	0.2	1.100	0.268	-0.04	0.0	1.100	0.524	-0.07	9.5	1.100	0.550	-0.56	9.2	1.100	0.506	-0.30	9.7	1.100	0.520	-0.09	9.5	1.100	0.507	-0.04	9.7	1.100	0.778	-2.42	8.5	1.100	0.788	-2.26	8.9	1.100	0.621	-1.44	9.7	1.100	0.514	-0.75	9.5	1.100	0.716	-2.06	10.0	1.100	0.672	-1.91	9.8	1.100	0.869	3.67	9.1
1.125	1.397	0.00	0.5	1.125	0.267	-0.04	-0.1	1.125	0.525	0.17	9.7	1.125	0.538	-0.33	9.5	1.125	0.501	-0.05	9.4	1.125	0.520	0.15	9.7	1.125	0.509	0.21	9.7	1.125	0.718	-2.24	9.1	1.125	0.734	-2.04	8.4	1.125	0.588	-1.20	9.7	1.125	0.498	-0.52	9.5	1.125	0.668	-1.82	9.6	1.125	0.628	-1.66	9.6	1.125	0.964	3.95	16.8
