Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11,Run #12,Run #12,Run #12,Run #12,Run #13,Run #13,Run #13,Run #13,Run #14,Run #14,Run #14,Run #14,Run #15,Run #15,Run #15,Run #15,Run #16,Run #16,Run #16,Run #16,Run #17,Run #17,Run #17,Run #17,Run #18,Run #18,Run #18,Run #18
Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2)
0.775,1.398,0,-0.2,0.775,0.268,0.01,0.1,0.775,1.057,-3.22,-26.7,0.775,1.123,2.82,-104.5,0.775,1.116,-3.06,-88.6,0.775,1.059,-3.26,-26.1,0.775,1.03,-3.19,1.7,0.775,0.501,2.61,11.2,0.775,0.531,2.52,10.3,0.775,0.789,3.29,6.9,0.775,1.095,3.79,-84.5,0.775,0.6,2.81,10.4,0.775,0.651,3.08,10.5,0.775,0.166,0.59,9.6
0.8,1.397,-0.01,0.3,0.8,0.268,0.01,0.3,0.8,0.98,-3,9,0.8,1.151,-1.12,-121.7,0.8,1.032,-3.23,1.1,0.8,0.98,-3.02,10.1,0.8,0.953,-2.95,10.1,0.8,0.569,2.92,11,0.8,0.596,2.8,10.9,0.8,0.872,3.51,11.5,0.8,1.177,-0.17,-145,0.8,0.673,3.09,9.4,0.8,0.733,3.32,8.4,0.8,0.184,0.84,9.8
0.825,1.397,0.01,0.4,0.825,0.269,0.02,0.1,0.825,0.907,-2.77,11.5,0.825,1.067,-3.27,-37.5,0.825,0.955,-3,10.5,0.825,0.908,-2.75,11.4,0.825,0.883,-2.68,9.9,0.825,0.646,3.16,8.8,0.825,0.671,3.06,8.5,0.825,0.964,3.87,18.3,0.825,1.086,-3.46,-60.1,0.825,0.755,3.28,8.3,0.825,0.817,3.5,8.5,0.825,0.207,1.08,9.7
0.85,1.398,0.02,-0.2,0.85,0.269,0.02,-0.2,0.85,0.841,-2.43,11,0.85,0.988,-3,11,0.85,0.882,-2.7,11,0.85,0.843,-2.45,10.4,0.85,0.819,-2.45,8.8,0.85,0.727,3.36,8.6,0.85,0.75,3.23,7.8,0.85,1.066,4.43,-62.3,0.85,1.004,-3.17,10.9,0.85,0.837,3.51,10.8,0.85,0.908,3.75,13.9,0.85,0.238,1.32,9.7
0.875,1.398,0,-0.6,0.875,0.27,0.01,-0.2,0.875,0.785,-2.21,7.9,0.875,0.917,-2.72,10.7,0.875,0.82,-2.45,8.6,0.875,0.785,-2.23,8.5,0.875,0.76,-2.24,9.3,0.875,0.814,3.58,9.1,0.875,0.832,3.45,9.8,0.875,1.186,0.76,-154,0.875,0.928,-2.92,10.3,0.875,0.93,3.82,17.2,0.875,1.005,4.2,-13.9,0.875,0.273,1.57,9.7
0.9,1.398,-0.01,-0.3,0.9,0.27,0.01,0.1,0.9,0.731,-2.03,9,0.9,0.852,-2.46,9.7,0.9,0.759,-2.27,9.1,0.9,0.731,-2.03,8.9,0.9,0.707,-1.99,10.3,0.9,0.906,3.81,13,0.9,0.922,3.72,15.4,0.9,1.103,-3.28,-78.5,0.9,0.858,-2.65,9.9,0.9,1.028,4.37,-32.9,0.9,1.118,3.05,-103.1,0.9,0.316,1.81,9.2
0.925,1.398,-0.01,0.2,0.925,0.27,0.01,0.2,0.925,0.684,-1.76,10.2,0.925,0.794,-2.23,9.1,0.925,0.706,-2,10.4,0.925,0.684,-1.78,9.1,0.925,0.661,-1.73,10,0.925,1.005,4.23,-14.5,0.925,1.018,4.22,-23.1,0.925,1.022,-3.17,7,0.925,0.795,-2.42,9,0.925,1.148,2.17,-126.7,0.925,1.157,-0.96,-128.6,0.925,0.364,2.03,9.2
0.95,1.397,-0.01,0.4,0.95,0.271,0.01,-0.3,0.95,0.642,-1.52,9.8,0.95,0.741,-2.01,9.3,0.95,0.659,-1.75,9.8,0.95,0.642,-1.58,9,0.95,0.621,-1.49,9.7,0.95,1.117,3.09,-103.1,0.95,1.133,2.56,-113.1,0.95,0.945,-2.92,11.1,0.95,0.737,-2.2,8.4,0.95,1.136,-1.97,-109.7,0.95,1.069,-3.38,-44,0.95,0.417,2.27,9.8
0.975,1.397,0.01,0.2,0.975,0.271,3.25E-04,-0.5,0.975,0.607,-1.27,10,0.975,0.693,-1.76,9.8,0.975,0.619,-1.51,9.7,0.975,0.605,-1.33,10.6,0.975,0.587,-1.24,9.8,0.975,1.16,-0.92,-131,0.975,1.146,-1.43,-116.3,0.975,0.876,-2.61,10.7,0.975,0.685,-2,8.9,0.975,1.05,-3.31,-21.5,0.975,0.988,-3.16,9.1,0.975,0.477,2.52,9.8
1,1.397,0.01,0.1,1,0.271,-0.01,-0.3,1,0.579,-1.03,9.8,1,0.653,-1.51,9.8,1,0.584,-1.26,9.8,1,0.576,-1.05,10.6,1,0.558,-1,9.8,1,1.071,-3.46,-45.8,1,1.062,-3.25,-31.2,1,0.814,-2.39,8.6,1,0.637,-1.76,10.4,1,0.971,-3.04,10.8,1,0.911,-2.92,10.6,1,0.543,2.76,10
